date,value
1950,10026773
1955,10680023
1960,11417254
1965,12212269
1970,12957621
1975,13599092
1980,14091014
1985,14453833	
1990,14892574
1995,15424122
2000,15863950
2005,16305526
2010,16574989
2015,16900726
2018,17181084
2019,17282163
